county,pop
"Sunflower County, Mississippi","25,110"
"Grant County, Kentucky","25,069"
"Bremer County, Iowa","25,062"
"Hardeman County, Tennessee","25,050"
"Brown County, Minnesota","25,008"
"St. Francis County, Arkansas","24,994"
"Butts County, Georgia","24,936"
"Staunton city, Virginia","24,932"
"Cleburne County, Arkansas","24,919"
"Yates County, New York","24,913"
"Churchill County, Nevada","24,909"
"Morehouse Parish, Louisiana","24,874"
"Milam County, Texas","24,823"
"Chattooga County, Georgia","24,789"
"Juniata County, Pennsylvania","24,763"
"Randolph County, Missouri","24,748"
"Washington County, Missouri","24,730"
"Barbour County, Alabama","24,686"
"Otsego County, Michigan","24,668"
"Randolph County, Indiana","24,665"
"Todd County, Minnesota","24,664"
"Jefferson County, Oregon","24,658"
"Grady County, Georgia","24,633"
"Macon County, Tennessee","24,602"
"Marion County, Mississippi","24,573"
"Manistee County, Michigan","24,558"
"Lincoln County, Kentucky","24,549"
"Jackson County, Oklahoma","24,530"
"Abbeville County, South Carolina","24,527"
"Union County, Georgia","24,511"
"George County, Mississippi","24,500"
"Nicholas County, West Virginia","24,496"
"Rowan County, Kentucky","24,460"
"Anson County, North Carolina","24,446"
"Waushara County, Wisconsin","24,443"
"Jerome County, Idaho","24,412"
"Crook County, Oregon","24,404"
"Pottawatomie County, Kansas","24,383"
"Seminole County, Oklahoma","24,258"
"Upshur County, West Virginia","24,176"
"White County, Indiana","24,102"
"Cassia County, Idaho","24,030"
"Roscommon County, Michigan","24,019"
"Fairfax city, Virginia","24,019"
"Ohio County, Kentucky","23,994"
"Payette County, Idaho","23,951"
"Crawford County, Missouri","23,920"
"Page County, Virginia","23,902"
"Sabine Parish, Louisiana","23,884"
"Scott County, Indiana","23,873"
"Goochland County, Virginia","23,753"
"Luna County, New Mexico","23,709"
"Iowa County, Wisconsin","23,678"
"Hertford County, North Carolina","23,677"
"Winston County, Alabama","23,629"
"Clarke County, Alabama","23,622"
"Dawson County, Nebraska","23,595"
"Poinsett County, Arkansas","23,528"
"Aransas County, Texas","23,510"
"Saline County, Illinois","23,491"
"Teton County, Wyoming","23,464"
"Osceola County, Michigan","23,460"
"Columbia County, Arkansas","23,457"
"Limestone County, Texas","23,437"
"Mingo County, West Virginia","23,424"
"Lee County, Virginia","23,423"
"Itawamba County, Mississippi","23,390"
"Ouachita County, Arkansas","23,382"
"Hood River County, Oregon","23,382"
"Franklin County, Georgia","23,349"
"Antrim County, Michigan","23,324"
"Grainger County, Tennessee","23,320"
"Meeker County, Minnesota","23,222"
"Plaquemines Parish, Louisiana","23,197"
"Panola County, Texas","23,194"
"Hampshire County, West Virginia","23,175"
"Bandera County, Texas","23,112"
"Fayette County, Indiana","23,102"
"New Kent County, Virginia","23,091"
"Blaine County, Idaho","23,021"
"Hockley County, Texas","23,021"
"Ray County, Missouri","23,018"
"Starke County, Indiana","22,995"
"Houston County, Texas","22,968"
"Curry County, Oregon","22,925"
"Meigs County, Ohio","22,907"
"McDonald County, Missouri","22,837"
"Sumner County, Kansas","22,836"
"Yankton County, South Dakota","22,814"
"Prince Edward County, Virginia","22,802"
"Leake County, Mississippi","22,786"
"Menominee County, Michigan","22,780"
"Saline County, Missouri","22,761"
"Franklin County, Indiana","22,758"
"Anderson County, Kentucky","22,747"
"Randolph County, Alabama","22,722"
"Emanuel County, Georgia","22,646"
"Waynesboro city, Virginia","22,630"
"Caswell County, North Carolina","22,604"
"Asotin County, Washington","22,582"
"Rockbridge County, Virginia","22,573"
"Hopewell city, Virginia","22,529"
"Pacific County, Washington","22,471"
"Martin County, North Carolina","22,440"
"Klickitat County, Washington","22,425"
"Logan County, Colorado","22,409"
"Bibb County, Alabama","22,394"
"Grant Parish, Louisiana","22,389"
"Burke County, Georgia","22,383"
"Crisp County, Georgia","22,372"
"Fairfield County, South Carolina","22,347"
"Clark County, Arkansas","22,320"
"Overton County, Tennessee","22,241"
"Vilas County, Wisconsin","22,195"
"Adair County, Oklahoma","22,194"
"Johnson County, Kentucky","22,188"
"Coahoma County, Mississippi","22,124"
"Putnam County, Georgia","22,119"
"Union Parish, Louisiana","22,108"
"Mahaska County, Iowa","22,095"
"Nodaway County, Missouri","22,092"
"Scott County, Tennessee","22,068"
"Tippah County, Mississippi","22,015"
"Washington County, Iowa","21,965"
"Brooke County, West Virginia","21,939"
"Mercer County, Kentucky","21,933"
"Assumption Parish, Louisiana","21,891"
"Gray County, Texas","21,886"
"Mitchell County, Georgia","21,863"
"Beckham County, Oklahoma","21,859"
"Henry County, Missouri","21,824"
"Llano County, Texas","21,795"
"Jersey County, Illinois","21,773"
"Wyandot County, Ohio","21,772"
"Leelanau County, Michigan","21,761"
"Madison County, North Carolina","21,755"
"Pointe Coupee Parish, Louisiana","21,730"
"Tyler County, Texas","21,672"
"Shelby County, Illinois","21,634"
"Nobles County, Minnesota","21,629"
"Wabasha County, Minnesota","21,627"
"Sevier County, Utah","21,620"
"Saunders County, Nebraska","21,578"
"Taylor County, Florida","21,569"
"Scott County, Virginia","21,566"
"Letcher County, Kentucky","21,553"
"Colusa County, California","21,547"
"Hempstead County, Arkansas","21,532"
"Gage County, Nebraska","21,513"
"Colorado County, Texas","21,493"
"Gaines County, Texas","21,492"
"Hubbard County, Minnesota","21,491"
"Logan County, Arkansas","21,466"
"Boone County, West Virginia","21,457"
"Seward County, Kansas","21,428"
"Lampasas County, Texas","21,428"
"Morgan County, Tennessee","21,403"
"Willacy County, Texas","21,358"
"Yell County, Arkansas","21,341"
"Fayette County, Illinois","21,336"
"Allen County, Kentucky","21,315"
"McDuffie County, Georgia","21,312"
"Calhoun County, Texas","21,290"
"Jo Daviess County, Illinois","21,235"
"Buchanan County, Iowa","21,175"
"Meriwether County, Georgia","21,167"
"La Paz County, Arizona","21,108"
"St. James Parish, Louisiana","21,096"
"Greene County, North Carolina","21,069"
"Fillmore County, Minnesota","21,067"
"Minidoka County, Idaho","21,039"
"Newton County, Mississippi","21,018"
"Buchanan County, Virginia","21,004"
"Ogemaw County, Michigan","20,997"
"Moore County, Texas","20,940"
"Hutchinson County, Texas","20,938"
"Dodge County, Minnesota","20,934"
"Perry County, Illinois","20,916"
"Barnwell County, South Carolina","20,866"
"Conway County, Arkansas","20,846"
"Gonzales County, Texas","20,837"
"Owen County, Indiana","20,799"
"Grenada County, Mississippi","20,758"
"Monroe County, Alabama","20,733"
"Washington County, Nebraska","20,729"
"Polk County, North Carolina","20,724"
"Stutsman County, North Dakota","20,704"
"Jones County, Iowa","20,681"
"Sullivan County, Indiana","20,669"
"Jackson County, Wisconsin","20,643"
"Morgan County, Missouri","20,627"
"Dodge County, Georgia","20,605"
"Vernon County, Missouri","20,563"
"DeKalb County, Tennessee","20,490"
"Breckinridge County, Kentucky","20,477"
"Saluda County, South Carolina","20,473"
"Carbon County, Utah","20,463"
"Jay County, Indiana","20,436"
"Kewaunee County, Wisconsin","20,434"
"Lincoln County, West Virginia","20,409"
"Wyoming County, West Virginia","20,394"
"Clinton County, Missouri","20,387"
"Washington County, Georgia","20,374"
"Chaffee County, Colorado","20,356"
"Taylor County, Wisconsin","20,343"
"Wayne County, Kentucky","20,333"
"Frio County, Texas","20,306"
"Spencer County, Indiana","20,277"
"Carroll County, Indiana","20,257"
"Worth County, Georgia","20,247"
"Uinta County, Wyoming","20,226"
"Adams County, Wisconsin","20,220"
"Woodward County, Oklahoma","20,211"
"Wayne County, Mississippi","20,183"
"Carroll County, Iowa","20,165"
"DeWitt County, Texas","20,160"
"Smith County, Tennessee","20,157"
"Lavaca County, Texas","20,154"
"Richland Parish, Louisiana","20,122"
"Jones County, Texas","20,083"
"Dakota County, Nebraska","20,026"
"Franklin Parish, Louisiana","20,015"
"Winneshiek County, Iowa","19,991"
"Texas County, Oklahoma","19,983"
"Adams County, Washington","19,983"
"Lincoln County, Montana","19,980"
"Fulton County, Indiana","19,974"
"Union County, Tennessee","19,972"
"Polk County, Arkansas","19,964"
"Henry County, Iowa","19,954"
"Cherokee County, Kansas","19,939"
"Duchesne County, Utah","19,938"
"Pickens County, Alabama","19,930"
"Clay County, Kentucky","19,901"
"Lincoln County, Wyoming","19,830"
"Greene County, Virginia","19,819"
"Montague County, Texas","19,818"
"Bourbon County, Kentucky","19,788"
"Davison County, South Dakota","19,775"
"Warren County, North Carolina","19,731"
"Freestone County, Texas","19,717"
"Martin County, Minnesota","19,683"
"Ashley County, Arkansas","19,657"
"Fayette County, Iowa","19,650"
"Orange County, Indiana","19,646"
"Buena Vista County, Iowa","19,620"
"Labette County, Kansas","19,618"
"Holmes County, Florida","19,617"
"McIntosh County, Oklahoma","19,596"
"Lincoln County, New Mexico","19,572"
"Long County, Georgia","19,559"
"Northampton County, North Carolina","19,483"
"Pierce County, Georgia","19,465"
"Douglas County, Illinois","19,465"
"Butler County, Alabama","19,448"
"Benton County, Missouri","19,443"
"Jackson County, Iowa","19,439"
"Kent County, Maryland","19,422"
"Berrien County, Georgia","19,397"
"Tishomingo County, Mississippi","19,383"
"Los Alamos County, New Mexico","19,369"
"Spencer County, Kentucky","19,351"
"Clay County, Mississippi","19,316"
"Morgan County, Georgia","19,276"
"Marion County, Kentucky","19,273"
"Concordia Parish, Louisiana","19,259"
"Banks County, Georgia","19,234"
"Hampton County, South Carolina","19,222"
"Adair County, Kentucky","19,202"
"Elbert County, Georgia","19,194"
"Langlade County, Wisconsin","19,189"
"Perry County, Indiana","19,169"
"Perry County, Missouri","19,136"
"East Feliciana Parish, Louisiana","19,135"
"Brantley County, Georgia","19,109"
"Lamar County, Georgia","19,077"
"Jefferson County, Kansas","19,043"
"Hart County, Kentucky","19,035"
"Pike County, Georgia","18,962"
"Bertie County, North Carolina","18,947"
"Green Lake County, Wisconsin","18,913"
"Harrison County, Kentucky","18,886"
"Marengo County, Alabama","18,863"
"Park County, Colorado","18,845"
"Plumas County, California","18,807"
"Andrews County, Texas","18,705"
"Bosque County, Texas","18,685"
"Paulding County, Ohio","18,672"
"Crawford County, Illinois","18,667"
"Covington County, Mississippi","18,636"
"Cedar County, Iowa","18,627"
"Waseca County, Minnesota","18,612"
"Houston County, Minnesota","18,600"
"Gilchrist County, Florida","18,582"
"Humphreys County, Tennessee","18,582"
"Simpson County, Kentucky","18,572"
"Deaf Smith County, Texas","18,546"
"Fentress County, Tennessee","18,523"
"Poweshiek County, Iowa","18,504"
"Roosevelt County, New Mexico","18,500"
"Madison County, Florida","18,493"
"Dickinson County, Kansas","18,466"
"Beadle County, South Dakota","18,453"
"Burleson County, Texas","18,443"
"Bethel Census Area, Alaska","18,386"
"Appling County, Georgia","18,386"
"Eastland County, Texas","18,360"
"Stone County, Mississippi","18,336"
"Greene County, Georgia","18,324"
"Pike County, Missouri","18,302"
"Jefferson County, Iowa","18,295"
"Wright County, Missouri","18,289"
"Otero County, Colorado","18,278"
"Grant County, Arkansas","18,265"
"Radford city, Virginia","18,249"
"Montour County, Pennsylvania","18,230"
"Drew County, Arkansas","18,219"
"Attala County, Mississippi","18,174"
"Gem County, Idaho","18,112"
"Yancey County, North Carolina","18,069"
"Macon County, Alabama","18,068"
"Inyo County, California","18,039"
"Kalkaska County, Michigan","18,038"
"Westmoreland County, Virginia","18,015"
"Young County, Texas","18,010"
"Randolph County, Arkansas","17,958"
"Winston County, Mississippi","17,955"
"Russell County, Kentucky","17,923"
"Ste. Genevieve County, Missouri","17,894"
"Morgan County, West Virginia","17,884"
"Unicoi County, Tennessee","17,883"
"Schuyler County, New York","17,807"
"Johnson County, Tennessee","17,788"
"Phillips County, Arkansas","17,782"
"Pitkin County, Colorado","17,767"
"Benzie County, Michigan","17,766"
"Franklin County, Arkansas","17,715"
"Andrew County, Missouri","17,712"
"Cooper County, Missouri","17,709"
"Hancock County, Illinois","17,708"
"Garrard County, Kentucky","17,666"
"Southampton County, Virginia","17,631"
"McDowell County, West Virginia","17,624"
"Patrick County, Virginia","17,608"
"San Juan County, Washington","17,582"
"Avery County, North Carolina","17,557"
"Clayton County, Iowa","17,549"
"Hughes County, South Dakota","17,526"
"Arkansas County, Arkansas","17,486"
"Manassas Park city, Virginia","17,478"
"Gunnison County, Colorado","17,462"
"Sharp County, Arkansas","17,442"
"Leon County, Texas","17,404"
"Colonial Heights city, Virginia","17,370"
"Dukes County, Massachusetts","17,332"
"Haywood County, Tennessee","17,304"
"Chester County, Tennessee","17,297"
"Falls County, Texas","17,297"
"Seward County, Nebraska","17,284"
"Cook County, Georgia","17,270"
"Dickinson County, Iowa","17,258"
"Richland County, Wisconsin","17,252"
"Lee County, Texas","17,239"
"McCreary County, Kentucky","17,231"
"Henry County, Alabama","17,205"
"Mariposa County, California","17,203"
"Edgar County, Illinois","17,161"
"Buckingham County, Virginia","17,148"
"King William County, Virginia","17,148"
"Rabun County, Georgia","17,137"
"Chickasaw County, Mississippi","17,103"
"New Madrid County, Missouri","17,076"
"Robertson County, Texas","17,074"
"Mason County, Kentucky","17,070"
"Delaware County, Iowa","17,011"
"Holmes County, Mississippi","17,010"
"Sevier County, Arkansas","17,007"
"Parke County, Indiana","16,937"
"Marshall County, Oklahoma","16,931"
"Dallas County, Missouri","16,878"
"Tama County, Iowa","16,854"
"Hardin County, Iowa","16,846"
"Warren County, Illinois","16,844"
"Polk County, Tennessee","16,832"
"Humboldt County, Nevada","16,831"
"Lee County, South Carolina","16,828"
"Dixie County, Florida","16,826"
"Crawford County, Iowa","16,820"
"Piscataquis County, Maine","16,785"
"Bristol city, Virginia","16,762"
"Giles County, Virginia","16,720"
"Jackson County, Arkansas","16,719"
"Scurry County, Texas","16,703"
"Ben Hill County, Georgia","16,700"
"Rockcastle County, Kentucky","16,695"
"Taylor County, West Virginia","16,695"
"Marion County, Arkansas","16,694"
"Wayne County, Tennessee","16,673"
"Idaho County, Idaho","16,667"
"Lafayette County, Wisconsin","16,665"
"Union County, Illinois","16,653"
"Socorro County, New Mexico","16,637"
"Park County, Montana","16,606"
"Rush County, Indiana","16,581"
"Madison County, Arkansas","16,576"
"Sawyer County, Wisconsin","16,558"
"Van Buren County, Arkansas","16,545"
"Potter County, Pennsylvania","16,526"
"Hill County, Montana","16,484"
"Barbour County, West Virginia","16,441"
"Bond County, Illinois","16,426"
"Cross County, Arkansas","16,419"
"Lawrence County, Arkansas","16,406"
"Jasper County, Mississippi","16,383"
"Pawnee County, Oklahoma","16,376"
"Fountain County, Indiana","16,346"
"Piatt County, Illinois","16,344"
"Madison County, Iowa","16,338"
"Kanabec County, Minnesota","16,337"
"Washington County, Alabama","16,326"
"Fayette County, Alabama","16,302"
"Alamosa County, Colorado","16,233"
"Brunswick County, Virginia","16,231"
"Wayne County, Illinois","16,215"
"Iowa County, Iowa","16,184"
"Richland County, North Dakota","16,177"
"Bates County, Missouri","16,172"
"Benton County, Tennessee","16,160"
"Casey County, Kentucky","16,159"
"Moniteau County, Missouri","16,132"
"Crawford County, Wisconsin","16,131"
"Henry County, Kentucky","16,126"
"Baker County, Oregon","16,124"
"Dade County, Georgia","16,116"
"Atchison County, Kansas","16,073"
"Clay County, Iowa","16,016"
"Otoe County, Nebraska","16,012"
"Neosho County, Kansas","16,007"
"Reeves County, Texas","15,976"
"Osage County, Kansas","15,949"
"Union County, South Dakota","15,932"
"Smith County, Mississippi","15,916"
"Appomattox County, Virginia","15,911"
"Lewis County, West Virginia","15,907"
"Aitkin County, Minnesota","15,886"
"Telfair County, Georgia","15,860"
"Pecos County, Texas","15,823"
"Pemiscot County, Missouri","15,805"
"Kingfisher County, Oklahoma","15,765"
"Floyd County, Virginia","15,749"
"Jackson Parish, Louisiana","15,744"
"Grand County, Colorado","15,734"
"Washburn County, Wisconsin","15,720"
"Lawrence County, Illinois","15,678"
"Claiborne Parish, Louisiana","15,670"
"Floyd County, Iowa","15,642"
"De Witt County, Illinois","15,638"
"Karnes County, Texas","15,601"
"Marquette County, Wisconsin","15,574"
"Dent County, Missouri","15,573"
"West Feliciana Parish, Louisiana","15,568"
"Ashland County, Wisconsin","15,562"
"Pike County, Illinois","15,561"
"Grayson County, Virginia","15,550"
"Clarke County, Mississippi","15,541"
"Richland County, Illinois","15,513"
"Vermillion County, Indiana","15,498"
"Torrance County, New Mexico","15,461"
"Brooks County, Georgia","15,457"
"Clark County, Illinois","15,441"
"Mercer County, Illinois","15,437"
"Burnett County, Wisconsin","15,414"
"Jefferson County, Georgia","15,362"
"Lawrence County, Kentucky","15,317"
"San Juan County, Utah","15,308"
"Oglethorpe County, Georgia","15,259"
"Union County, Florida","15,237"
"Nottoway County, Virginia","15,232"
"Livingston County, Missouri","15,227"
"Gooding County, Idaho","15,179"
"Redwood County, Minnesota","15,170"
"Roseau County, Minnesota","15,165"
"Tipton County, Indiana","15,148"
"Missaukee County, Michigan","15,118"
"Macon County, Missouri","15,117"
"Jeff Davis County, Georgia","15,115"
"Mills County, Iowa","15,109"
"Page County, Iowa","15,107"
"Brown County, Indiana","15,092"
"Wetzel County, West Virginia","15,065"
"Bledsoe County, Tennessee","15,064"
"Harrison County, Ohio","15,040"
"Bayfield County, Wisconsin","15,036"
"Sequatchie County, Tennessee","15,026"
"McKenzie County, North Dakota","15,024"
"Mitchell County, North Carolina","14,964"
"Williamsburg city, Virginia","14,954"
"Nelson County, Virginia","14,930"
"Cleburne County, Alabama","14,910"
"LaSalle Parish, Louisiana","14,892"
"Arenac County, Michigan","14,883"
"Sibley County, Minnesota","14,865"
"Alleghany County, Virginia","14,860"
"Kossuth County, Iowa","14,813"
"Knott County, Kentucky","14,806"
"Carbon County, Wyoming","14,800"
"Hamilton County, Iowa","14,773"
"Jackson County, Texas","14,760"
"Nolan County, Texas","14,714"
"Gasconade County, Missouri","14,706"
"Cannon County, Tennessee","14,678"
"Choctaw County, Oklahoma","14,672"
"Hale County, Alabama","14,651"
"Trigg County, Kentucky","14,651"
"Trinity County, Texas","14,651"
"Clarke County, Virginia","14,619"
"Falls Church city, Virginia","14,617"
"Pendleton County, Kentucky","14,590"
"Fleming County, Kentucky","14,581"
"Calhoun County, South Carolina","14,553"
"Clay County, Arkansas","14,551"
"Renville County, Minnesota","14,548"
"Bourbon County, Kansas","14,534"
"Fulton County, Pennsylvania","14,530"
"Morgan County, Ohio","14,508"
"Las Animas County, Colorado","14,506"
"Moultrie County, Illinois","14,501"
"Mono County, California","14,444"
"Butler County, Iowa","14,439"
"Hamilton County, Florida","14,428"
"Noble County, Ohio","14,424"
"Larue County, Kentucky","14,398"
"Union County, Kentucky","14,381"
"McIntosh County, Georgia","14,378"
"Calhoun County, Mississippi","14,361"
"Cedar County, Missouri","14,349"
"Dickenson County, Virginia","14,318"
"Carroll County, Illinois","14,305"
"Walthall County, Mississippi","14,286"
"Madison County, Texas","14,284"
"Swain County, North Carolina","14,271"
"Jefferson County, Florida","14,246"
"Crockett County, Tennessee","14,230"
"Saline County, Nebraska","14,224"
"Jasper County, Georgia","14,219"
"Zapata County, Texas","14,179"
"Rusk County, Wisconsin","14,178"
"Oglala Lakota County, South Dakota","14,177"
"Rolette County, North Dakota","14,176"
"Craig County, Oklahoma","14,142"
"Pennington County, Minnesota","14,119"
"Estill County, Kentucky","14,106"
"Calhoun County, Florida","14,105"
"Murray County, Oklahoma","14,073"
"Clay County, South Dakota","14,070"
"Bamberg County, South Carolina","14,066"
"Harrison County, Iowa","14,049"
"Archuleta County, Colorado","14,029"
"Crawford County, Michigan","14,029"
"Newton County, Indiana","13,984"
"Gogebic County, Michigan","13,975"
"Screven County, Georgia","13,966"
"Braxton County, West Virginia","13,957"
"Chowan County, North Carolina","13,943"
"Callahan County, Texas","13,943"
"Winn Parish, Louisiana","13,904"
"Ketchikan Gateway Borough, Alaska","13,901"
"Washington County, Illinois","13,887"
"Franklin County, Idaho","13,876"
"Converse County, Wyoming","13,822"
"Glades County, Florida","13,811"
"Tallahatchie County, Mississippi","13,809"
"Lamar County, Alabama","13,805"
"Hardy County, West Virginia","13,776"
"Crenshaw County, Alabama","13,772"
"Massac County, Illinois","13,772"
"Atoka County, Oklahoma","13,758"
"O'Brien County, Iowa","13,753"
"Glacier County, Montana","13,753"
"Pend Oreille County, Washington","13,724"
"Stewart County, Tennessee","13,715"
"Roane County, West Virginia","13,688"
"Allamakee County, Iowa","13,687"
"Wadena County, Minnesota","13,682"
"York County, Nebraska","13,679"
"Monroe County, Ohio","13,654"
"Faribault County, Minnesota","13,653"
"Gulf County, Florida","13,639"
"Comanche County, Texas","13,635"
"Izard County, Arkansas","13,629"
"Osage County, Missouri","13,615"
"Newton County, Texas","13,595"
"Greene County, Mississippi","13,586"
"White County, Illinois","13,537"
"Perquimans County, North Carolina","13,463"
"Grundy County, Tennessee","13,427"
"Charlton County, Georgia","13,392"
"Dooly County, Georgia","13,390"
"Mason County, Illinois","13,359"
"Price County, Wisconsin","13,351"
"Jackson County, Kentucky","13,329"
"Big Horn County, Montana","13,319"
"Morgan County, Kentucky","13,309"
"Ripley County, Missouri","13,288"
"Moffat County, Colorado","13,283"
"Hughes County, Oklahoma","13,279"
"Lewis County, Kentucky","13,275"
"Monroe County, West Virginia","13,275"
"Madison County, Virginia","13,261"
"Bienville Parish, Louisiana","13,241"
"Clay County, Alabama","13,235"
"Goshen County, Wyoming","13,211"
"Howard County, Arkansas","13,202"
"Millard County, Utah","13,188"
"Douglas County, Missouri","13,185"
"Clay County, Illinois","13,184"
"Mississippi County, Missouri","13,180"
"Jackson County, Kansas","13,171"
"Amelia County, Virginia","13,145"
"Fremont County, Idaho","13,099"
"Camp County, Texas","13,094"
"Vinton County, Ohio","13,085"
"Buffalo County, Wisconsin","13,031"
"Lincoln County, Arkansas","13,024"
"Kodiak Island Borough, Alaska","12,998"
"Greene County, Illinois","12,969"
"Ford County, Illinois","12,961"
"Macon County, Georgia","12,947"
"Webster County, Kentucky","12,942"
"Lamb County, Texas","12,893"
"Shoshone County, Idaho","12,882"
"Butler County, Kentucky","12,879"
"Bleckley County, Georgia","12,873"
"Wayne County, Missouri","12,873"
"Cass County, Iowa","12,836"
"Lake County, South Dakota","12,797"
"Wilbarger County, Texas","12,769"
"Caldwell County, Kentucky","12,747"
"Dawson County, Texas","12,728"
"Pamlico County, North Carolina","12,726"
"Breathitt County, Kentucky","12,630"
"Haskell County, Oklahoma","12,627"
"Presque Isle County, Michigan","12,592"
"Choctaw County, Alabama","12,589"
"Lawrence County, Mississippi","12,586"
"Summers County, West Virginia","12,573"
"Wright County, Iowa","12,562"
"Martinsville city, Virginia","12,554"
"DeKalb County, Missouri","12,547"
"Rains County, Texas","12,514"
"Stone County, Arkansas","12,506"
"Bath County, Kentucky","12,500"
"Fulton County, Arkansas","12,477"
"Sumter County, Alabama","12,427"
"Appanoose County, Iowa","12,426"
"Meigs County, Tennessee","12,422"
"Johnson County, Illinois","12,417"
"Crawford County, Georgia","12,404"
"Pike County, Indiana","12,389"
"Morris County, Texas","12,388"
"Allen County, Kansas","12,369"
"Powell County, Kentucky","12,359"
"Pulaski County, Indiana","12,353"
"Terry County, Texas","12,337"
"Amite County, Mississippi","12,297"
"Todd County, Kentucky","12,294"
"Trinity County, California","12,285"
"Poquoson city, Virginia","12,271"
"Lewis County, Tennessee","12,268"
"Little River County, Arkansas","12,259"
"Boundary County, Idaho","12,245"
"Union County, Iowa","12,241"
"Grundy County, Iowa","12,232"
"Koochiching County, Minnesota","12,229"
"Jefferson County, Montana","12,221"
"Live Oak County, Texas","12,207"
"Menard County, Illinois","12,196"
"Lunenburg County, Virginia","12,196"
"Prowers County, Colorado","12,172"
"Magoffin County, Kentucky","12,161"
"Edmonson County, Kentucky","12,150"
"Cass County, Illinois","12,147"
"Teton County, Idaho","12,142"
"Bollinger County, Missouri","12,133"
"Franklin County, Florida","12,125"
"Morgan County, Utah","12,124"
"Sanders County, Montana","12,113"
"Yalobusha County, Mississippi","12,108"
"Washington County, Kentucky","12,095"
"Northumberland County, Virginia","12,095"
"Madison County, Missouri","12,088"
"Skamania County, Washington","12,083"
"Conecuh County, Alabama","12,067"
"Towns County, Georgia","12,037"
"Red River County, Texas","12,023"
"Juab County, Utah","12,017"
"Ward County, Texas","11,998"
"Okfuskee County, Oklahoma","11,993"
"Perry County, Mississippi","11,973"
"Colfax County, New Mexico","11,941"
"Chickasaw County, Iowa","11,933"
"Blanco County, Texas","11,931"
"Heard County, Georgia","11,923"
"Linn County, Missouri","11,920"
"Marion County, Kansas","11,884"
"Charlotte County, Virginia","11,880"
"Lake County, Michigan","11,853"
"Zavala County, Texas","11,840"
"Owyhee County, Idaho","11,823"
"Chippewa County, Minnesota","11,800"
"Big Horn County, Wyoming","11,790"
"Jackson County, Tennessee","11,786"
"Blackford County, Indiana","11,758"
"Lyon County, Iowa","11,755"
"Barton County, Missouri","11,754"
"Northampton County, Virginia","11,710"
"Decatur County, Tennessee","11,663"
"Morrow County, Oregon","11,603"
"Washington County, North Carolina","11,580"
"Grant County, West Virginia","11,568"
"Gates County, North Carolina","11,562"
"Montgomery County, Missouri","11,551"
"Wabash County, Illinois","11,520"
"Ramsey County, North Dakota","11,519"
"Shelby County, Iowa","11,454"
"Marshall County, Illinois","11,438"
"Custer County, Montana","11,402"
"Nantucket County, Massachusetts","11,399"
"Valley County, Idaho","11,392"
"Desha County, Arkansas","11,361"
"Greensville County, Virginia","11,336"
"Trousdale County, Tennessee","11,284"
"Rio Grande County, Colorado","11,267"
"Pope County, Minnesota","11,249"
"Cherokee County, Iowa","11,235"
"Clay County, North Carolina","11,231"
"Cottonwood County, Minnesota","11,196"
"Martin County, Kentucky","11,195"
"Bacon County, Georgia","11,164"
"Sussex County, Virginia","11,159"
"Duval County, Texas","11,157"
"Pulaski County, Georgia","11,137"
"Alleghany County, North Carolina","11,137"
"Noble County, Oklahoma","11,131"
"Jefferson Davis County, Mississippi","11,128"
"Pushmataha County, Oklahoma","11,096"
"Johnston County, Oklahoma","11,085"
"Iron County, Michigan","11,066"
"Fergus County, Montana","11,050"
"Louisa County, Iowa","11,035"
"Roosevelt County, Montana","11,004"
"Essex County, Virginia","10,953"
"Madison Parish, Louisiana","10,951"
"Green County, Kentucky","10,941"
"Lincoln County, Washington","10,939"
"Washita County, Oklahoma","10,916"
"Chattahoochee County, Georgia","10,907"
"Owen County, Kentucky","10,901"
"Watonwan County, Minnesota","10,897"
"Camden County, North Carolina","10,867"
"West Carroll Parish, Louisiana","10,830"
"Candler County, Georgia","10,803"
"Richland County, Montana","10,803"
"Mackinac County, Michigan","10,799"
"Sierra County, New Mexico","10,791"
"Box Butte County, Nebraska","10,783"
"Custer County, Nebraska","10,777"
"Cumberland County, Illinois","10,766"
"Bradley County, Arkansas","10,763"
"Switzerland County, Indiana","10,751"
"Carbon County, Montana","10,725"
"Franklin County, Texas","10,725"
"Red Willow County, Nebraska","10,724"
"Pike County, Arkansas","10,718"
"Colfax County, Nebraska","10,709"
"Guthrie County, Iowa","10,689"
"Coosa County, Alabama","10,663"
"Evans County, Georgia","10,654"
"Monroe County, Kentucky","10,650"
"Lake County, Minnesota","10,641"
"Walsh County, North Dakota","10,641"
"Carroll County, Kentucky","10,631"
"Hancock County, Iowa","10,630"
"Lancaster County, Virginia","10,603"
"Mitchell County, Iowa","10,586"
"Middlesex County, Virginia","10,582"
"Crawford County, Indiana","10,577"
"Mountrail County, North Dakota","10,545"
"Sabine County, Texas","10,542"
"Oregon County, Missouri","10,529"
"Clay County, Texas","10,471"
"Perry County, Arkansas","10,455"
"Butte County, South Dakota","10,429"
"Lanier County, Georgia","10,423"
"Noxubee County, Mississippi","10,417"
"Barnes County, North Dakota","10,415"
"Alcona County, Michigan","10,405"
"Roberts County, South Dakota","10,394"
"Wilcox County, Alabama","10,373"
"Winnebago County, Iowa","10,354"
"Ralls County, Missouri","10,309"
"Scott County, Arkansas","10,281"
"Runnels County, Texas","10,264"
"Martin County, Indiana","10,255"
